content,score,sentiment,cleaned_content
"aplikasi gak jelas, akun punya sendiri masak mau di download file kk atau aktr gak bisa, kan aneh, buatlan fitur download filenya lah woii",1,Negatif,aplikasi tidak jelas akun punya sendiri masak mau di download file kk atau aktr tidak bisa kan aneh buatlan fitur download filenya lah woii
"tujuannya untuk memudahkan, tapi sama saja harus ke kantor offline",1,Negatif,tujuannya untuk memudahkan tapi sama saja harus ke kantor offline
apalah aplikasi buruk harus ke tempat pembuatan KTP untuk bisa buat akun aplikasi ini online apaan gak guna mempersulit,1,Negatif,apalah aplikasi buruk harus ke tempat pembuatan ktp untuk bisa buat akun aplikasi ini online apaan tidak guna mempersulit
Payah Negara Pungli,1,Negatif,payah negara pungli
bukannya membantu malah memberatkan saya,1,Negatif,bukannya membantu malah memberatkan saya
"izin mau beri masukan saya orang daerah, tinggal di kota jakarta niatnya mau pake aplikasi ini biar gk usah pulkam ngurus dokumenya, tapi setelah di download mencoba mandaftar nyatanya harus daftar secara offline, sangat tidak efisien, tolong di adakan daftar secara online masa sekelas pemerintahan bikin update via online aja susah poll? sedangakan aplikasi di luar pemerintah aja udah canggih2? bisa banyak hal jadi tolong du update lagi agar masyarakat daerah yng tinggal di kota bisa mengurus",1,Negatif,izin mau beri masukan saya orang daerah tinggal di kota jakarta niatnya mau pakai aplikasi ini biar tidak usah pulkam ngurus dokumenya tapi setelah di download mencoba mandaftar nyatanya harus daftar secara offline sangat tidak efisien tolong di adakan daftar secara online masa sekelas pemerintahan bikin update via online saja susah poll sedangakan aplikasi di luar pemerintah saja sudah canggih bisa banyak hal jadi tolong du update lagi agar masyarakat daerah yng tinggal di kota bisa mengurus
"sangat membantu disaat , ktp ketinggalan",5,Positif,sangat membantu disaat ktp ketinggalan
aplikasinya bagus pkoknya jojis mantapp,5,Positif,aplikasinya bagus pkoknya jojis mantapp
gak ada gunanya,1,Negatif,tidak ada gunanya
sungguh menyusahkan masyarakat,1,Negatif,sungguh menyusahkan masyarakat
"mohon di tingkatkan lagi apk nya, masa kode aktivasi aja susah ga masuk' email lebih dari 2 hari pula😫😫. jadi bolak balik ke capil trus, bukannya mempermudah malah mempersulit😢😢",2,Negatif,mohon di tingkatkan lagi aplikasi nya masa kode aktivasi saja susah ga masuk email lebih dari hari pula jadi bolak balik ke capil trus bukannya mempermudah malah mempersulit
"kenapa yah semua aplikasi pemerintah ga ada yang berguna ? semua lelet dan ribet, mau daftar aja harus dateng ke kantor...masih percaya kalian sama aplikasi pemerintah tujuan untuk mempermudah ?",1,Negatif,kenapa yah semua aplikasi pemerintah ga ada yang berguna semua lelet dan ribet mau daftar saja harus dateng ke kantormasih percaya kalian sama aplikasi pemerintah tujuan untuk mempermudah
aplikasi ngaco.,1,Negatif,aplikasi ngaco
"sudah bagus aplikasi nya, cuma kalau untuk buka rekening di bank mandiri tetap harus ada ktp fisik. ktp fisik sudah buram,mau mengajukan ktp baru susah nya minta ampun.blanko kosong lah.tolong untuk Dinas kependudukan dan bank Indonesia bersinergi.",1,Negatif,sudah bagus aplikasi nya cuma kalau untuk buka rekening di bank mandiri tetap harus ada ktp fisik ktp fisik sudah burammau mengajukan ktp baru susah nya minta ampunblanko kosong lahtolong untuk dinas kependudukan dan bank indonesia bersinergi
maksudnya apa ya perangkat tidak kompatibel dengan versi. padahal saya neli hp baru tetap seperti itu.,5,Positif,maksudnya apa ya perangkat tidak kompatibel dengan versi padahal saya neli hp baru tetap seperti itu
"aplikasi online, daftarnya offline, sulit dimengerti",1,Negatif,aplikasi online daftarnya offline sulit dimengerti
"katanya mempermudah kita untuk melihat KK yg hilang. tapi tetap saja kita disuruh kekantornya untk minta kode QRS. sama saja bohong. aplikasi GK jelas. padahal sudah dimintai KTP, akun + no hp. sama saja bohong.",1,Negatif,katanya mempermudah kita untuk melihat kk yang hilang tapi tetap saja kita disuruh kekantornya untk minta kode qrs sama saja bohong aplikasi tidak jelas padahal sudah dimintai ktp akun no hp sama saja bohong
Keren,5,Positif,keren
Swafoto tapi tidak tersimpan,4,Positif,swafoto tapi tidak tersimpan
"Katanya udah digitalisasi, Udah elektronik, tapi tetep di bikin ribet, segala ada pake fotokopi, Builshit.",2,Negatif,katanya sudah digitalisasi sudah elektronik tapi tetep di bikin ribet segala ada pakai fotokopi builshit
"gk ada fitur download kk buat di cetak, verifikasi PIN setiap menu anjaayy, Lapis gembok. kalo mau ambil PDF harus ke Dispenduk Capil, geloooo. Tapi aku salut sih sama Dispenduk Capil Gondanglegi, sat set wat wet, maumu apa, butuh ini, selesai. apps ini nggk, mau apa? masukkan pin dulu, pap dulu, kek laporan ke pacar anjir tiap ngapa²in verifikasi dulu, aowkoakwoakok, benerin dulu lah pak, brimo aja cuman 3 kali (1x untuk transaksi), ini berlapis",1,Negatif,tidak ada fitur download kk buat di cetak verifikasi pin setiap menu anjaayy lapis gembok kalau mau ambil pdf harus ke dispenduk capil geloooo tapi aku salut sih sama dispenduk capil gondanglegi sat set wat wet maumu apa butuh ini selesai aplikasi ini nggk mau apa masukkan pin dulu pap dulu kek laporan ke pacar anjir tiap ngapa²in verifikasi dulu aowkoakwoakok benerin dulu lah pak brimo saja cuman kali x untuk transaksi ini berlapis
Alhamdulilah IKD udah sangat bagus sekali data keluarga dapat di lihat semua. tks.,5,Positif,alhamdulilah ikd sudah sangat bagus sekali data keluarga dapat di lihat semua terima kasih
terimakasih sahabatku,2,Negatif,terimakasih sahabatku
"tidak efisien percuma unduh app ini bung"" waktu toh PDA intinya ribet tolong dong yg bikin app yg lebih simple jngn bikin ribet warga hnya untuk membuat Identitas aj sangatt"" d persulit",1,Negatif,tidak efisien percuma unduh app ini bung waktu toh pda intinya ribet tolong dong yang bikin app yang lebih simple jngn bikin ribet warga hnya untuk membuat identitas aj sangatt d persulit
"mempersulit anj... gw lupa pin, gk di kasih opsi ganti, daftar kudu dateng, padahal posisi gw lagi jauh merantau, nyebelin",1,Negatif,mempersulit anj saya lupa pin tidak di kasih opsi ganti daftar kudu dateng padahal posisi saya lagi jauh merantau nyebelin
"Aplikasi mempersulit diri sendiri.... Sangat tidak berguna, Ribet Sumpah !!!",1,Negatif,aplikasi mempersulit diri sendiri sangat tidak berguna ribet sumpah
kok ikd makin parah yah ngga bisa login dan cuman bisa buat akun dong trus ngga bisa masuk ke dalam dan mengecek ktp dengn kartu keluarga nya biasanya hanya pake nik dan sandi dong kok ini semakin di perumit sihh👎👎👎,1,Negatif,kok ikd makin parah yah ngga bisa login dan cuman bisa buat akun dong trus ngga bisa masuk ke dalam dan mengecek ktp dengn kartu keluarga nya biasanya hanya pakai nik dan sandi dong kok ini semakin di perumit sihh
"aplikasi apaaan ni, ngapain harus ke dukcapil katanya digital tapi harus offline. sama aja",1,Negatif,aplikasi apaaan ni ngapain harus ke dukcapil katanya digital tapi harus offline sama saja
bagus,5,Positif,bagus
"ketika lupa pin ,udah tamat gak ada solusi buat perbaikan",1,Negatif,ketika lupa pin sudah tamat tidak ada solusi buat perbaikan
oke,5,Positif,oke
