content,score,sentiment,cleaned_content
kenapa tidak bisa login,1,Negatif,kenapa tidak bisa login
sudah punya akun dan sudah berhasil masuk. tp setelah keluar gak bisa login lagi.alasan permintaan tidak valid.data di perbarui harus nunggu 24 jam.ribet amad..server down apa gimana si,1,Negatif,sudah punya akun dan sudah berhasil masuk tapi setelah keluar tidak bisa login lagialasan permintaan tidak validdata di perbarui harus nunggu jamribet amadserver down apa gimana si
"aplikasi tidak jelas, saya mau mendaftar dengan nomor tlp dan email tetap tdk bisa verifikasi, semua sudah saya cek ulang tntg data saya, dan itu benar semua, saya juga tidak pernah mendaftar sebelumnya. bagaimana ini? saya jdi susah untuk membuat surat vaksin untuk melamar kerja",1,Negatif,aplikasi tidak jelas saya mau mendaftar dengan nomor tlp dan email tetap tidak bisa verifikasi semua sudah saya cek ulang tntg data saya dan itu benar semua saya juga tidak pernah mendaftar sebelumnya bagaimana ini saya jdi susah untuk membuat surat vaksin untuk melamar kerja
baik,5,Positif,baik
sejauh ini baik tidak ada masalah dalam penggunaan aplikasi. lebih diperbanyak lagi fitur nya,4,Positif,sejauh ini baik tidak ada masalah dalam penggunaan aplikasi lebih diperbanyak lagi fitur nya
Aplikasi jembot ga bisa di buka mmk,1,Negatif,aplikasi jembot ga bisa di buka mmk
kenapa tidak bisa buat akun verifikasi nya g masukkan,1,Negatif,kenapa tidak bisa buat akun verifikasi nya g masukkan
pelayanan sangat memuaskan,5,Positif,pelayanan sangat memuaskan
sangat bagus,5,Positif,sangat bagus
Bagus🙏👍,5,Positif,bagus
"mau daftar tapi ga bisa kirim verifikasi, kirain bug, ternyata emg aplikasi cct",2,Negatif,mau daftar tapi ga bisa kirim verifikasi kirain bug ternyata emg aplikasi cct
bermanfaat,5,Positif,bermanfaat
bagus,5,Positif,bagus
"padahal no hp sudah 12 digit,tapi tetep aja minta lagi no, terus pekerjaan pelajar susah ngisi di bagian jenjang,mau nambah CKG anak susah banget",2,Negatif,padahal no hp sudah digittapi tetep saja minta lagi no terus pekerjaan pelajar susah ngisi di bagian jenjangmau nambah ckg anak susah banget
sangat puas,5,Positif,sangat puas
"selalu gagal tiap login padahal udah bener data data yang dikasik, udah coba juga reset passwoard dan ganti email tetep juga ga bisa login",1,Negatif,selalu gagal tiap login padahal sudah bener data data yang dikasik sudah coba juga reset passwoard dan ganti email tetep juga ga bisa login
"Tidak bisa daftar, keterangan no hp maksimal 12 digit. ganti via email jg sama. daftar via ikd error.",1,Negatif,tidak bisa daftar keterangan no hp maksimal digit ganti via email jg sama daftar via ikd error
"aplikasi ga jelas buat login susahnya minta ampun, padahal sudah sesuai data yang di input tetapi ada aja masalahnya, ya tidak valid sandinya lah padahal sesuai dengan sandi yang sudah dibuat",1,Negatif,aplikasi ga jelas buat login susahnya minta ampun padahal sudah sesuai data yang di input tetapi ada saja masalahnya ya tidak valid sandinya lah padahal sesuai dengan sandi yang sudah dibuat
"aplikasi gak jelas kita daftar selalu nomor hp kurang, padahal sudah 12, aplikasi geblek bikin emosi.",1,Negatif,aplikasi tidak jelas kita daftar selalu nomor hp kurang padahal sudah aplikasi geblek bikin emosi
puaas....trims,5,Positif,puaastrims
baik,5,Positif,baik
ok,5,Positif,ok
"gabisa masuk pake nik digital, gabisa daftar pake email atau no.telepon lu bikin aplikasi beginian niat ga sih?",1,Negatif,gabisa masuk pakai nik digital gabisa daftar pakai email atau notelepon kamu bikin aplikasi beginian niat ga sih
"kenapa total g bisa di buka ya , adahal sandi sudah di ubah trus tetep saja ga valid aplikasi sbelumnya Masi ok pacar , skarang mah masuk akun nya aja g bisa",1,Negatif,kenapa total g bisa di buka ya adahal sandi sudah di ubah trus tetep saja ga valid aplikasi sbelumnya masi ok pacar skarang mah masuk akun nya saja g bisa
Info tidak bisa untuk mendaftar,1,Negatif,info tidak bisa untuk mendaftar
Sudah punya akun dari lama sejak zaman covid semenjak berubah nama akun menjadi satu sehat mau login malah susah banget. paraaah,1,Negatif,sudah punya akun dari lama sejak zaman covid semenjak berubah nama akun menjadi satu sehat mau login malah susah banget paraaah
bagus. bermanfaat,5,Positif,bagus bermanfaat
aplikasi ga guna ga jelas banyak yang ga bisa di akses,1,Negatif,aplikasi ga guna ga jelas banyak yang ga bisa di akses
sangat membantu pada saat perjalanan umroh dan haji krn menjadi syarat perjalanan ibadah.,5,Positif,sangat membantu pada saat perjalanan umroh dan haji karena menjadi syarat perjalanan ibadah
"para si aplikasi ini mau daftar aja gak bisa tertera nomor harus tidak lebih dari 12 digit, padahal nomor sudah benar",1,Negatif,para si aplikasi ini mau daftar saja tidak bisa tertera nomor harus tidak lebih dari digit padahal nomor sudah benar
"pengen daftar tapi ada yg aneh pas isi nomor telepon harus dua belas digit tapi nomor gue cuma sebelas kalo gue isi awalan 0 kagak bisa karena udah ada 62 jadi gue isi langsung awalan 8 tapi cuman sebelas digit, kacau dah",1,Negatif,pengen daftar tapi ada yang aneh pas isi nomor telepon harus dua belas digit tapi nomor gue cuma sebelas kalau gue isi awalan kagak bisa karena sudah ada jadi gue isi langsung awalan tapi cuman sebelas digit kacau dah
mantap ntuk pelayanannya cepatkebersihannya baik,5,Positif,mantap ntuk pelayanannya cepatkebersihannya baik
"kenapa susah amat mau daftarnya? NIK belum sesuai terus? pin salah terus, no hp sudah terdaftar, email sudah terdaftar, nggak bisa verifikasi by wa, trus gmn ini?",1,Negatif,kenapa susah amat mau daftarnya nik belum sesuai terus pin salah terus no hp sudah terdaftar email sudah terdaftar tidak bisa verifikasi by wa trus gmn ini
sangat membantu,5,Positif,sangat membantu
satu sehat mantap,5,Positif,satu sehat mantap
pelayanan baik dan cepat,5,Positif,pelayanan baik dan cepat
"gimana sih, baru aja mau daftar, suruh masukin nomer, giliran dimasukin nomernya ""nomer 12 digit"", lah XL cuma 11 digit (tanpa nol didepan), giliran pake email suruh tetep ngisi nomor, balik ngisi nomor lagi, coba ditambahin satu nomor tetep "" nomer 12 digit""... gg jelas banget",1,Negatif,gimana sih baru saja mau daftar suruh masukin nomer giliran dimasukin nomernya nomer digit lah xl cuma digit tanpa nol didepan giliran pakai email suruh tetep ngisi nomor balik ngisi nomor lagi coba ditambahin satu nomor tetep nomer digit gg jelas banget
semoga semakin baik lagi,4,Positif,semoga semakin baik lagi
sangat bagus dan membantu masyarakat,5,Positif,sangat bagus dan membantu masyarakat
sangat membantu,5,Positif,sangat membantu
Saya sekarang cek kesehatan gratis di Kantor Setda Kab.Tegal.... tp sblmnya pada tanggal 9 april saya dapat WA Kemenkes yang memberitahukan bahwa saya sudah melakukan CKG pada Puskesmas Kesambi Margasari padahal saya tidak pernah melakukanya. kok bisa yah data saya sudah ada padahal tidak pernah CKG,5,Positif,saya sekarang cek kesehatan gratis di kantor setda kabtegal tapi sblmnya pada tanggal april saya dapat wa kemenkes yang memberitahukan bahwa saya sudah melakukan ckg pada puskesmas kesambi margasari padahal saya tidak pernah melakukanya kok bisa yah data saya sudah ada padahal tidak pernah ckg
kenapa pas saya login di aplikasi ini selalu gabisa dan permintaan anda tidak valid padahal tahun kemarin pas saya login gampang²aja ga sesusah ini tolong dong di perbaiki jangan semakin kesini semakin susah bukan gampang,1,Negatif,kenapa pas saya login di aplikasi ini selalu gabisa dan permintaan anda tidak valid padahal tahun kemarin pas saya login gampang²aja ga sesusah ini tolong dong di perbaiki jangan semakin kesini semakin susah bukan gampang
josjis,5,Positif,josjis
"saya mau melaksanakan tes kesehatan gratis. sudah daftar by app. tapi waktu hari H sampai di puskesmas, sistem down dan tidak ada solusi. hanya disuruh kembali kapan-kapan saja. termasuk app juga mendadak tdk bisa login. saya yg awalnya excited ingin mencoba fasilitas pemerintah jadi semakin skeptis.",1,Negatif,saya mau melaksanakan tes kesehatan gratis sudah daftar by app tapi waktu hari h sampai di puskesmas sistem down dan tidak ada solusi hanya disuruh kembali kapankapan saja termasuk app juga mendadak tidak bisa login saya yang awalnya excited ingin mencoba fasilitas pemerintah jadi semakin skeptis
"min ini daftar nomernya gimna, saya daftar gabisa bisa kira kira knpa yah maksimal 12 nomer sedangan nomer yg tercatat kn 11 nomer saja",4,Positif,min ini daftar nomernya gimna saya daftar gabisa bisa kira kira knpa yah maksimal nomer sedangan nomer yang tercatat kn nomer saja
sangat membantu,5,Positif,sangat membantu
"aplikasi apaan ini, buat masuk gabisa daftar lagi ga bisa muter muter aja giliran ada kodenya ada notif masukan kode yg benar",1,Negatif,aplikasi apaan ini buat masuk gabisa daftar lagi ga bisa muter muter saja giliran ada kodenya ada notif masukan kode yang benar
status kesehatan diri,5,Positif,status kesehatan diri
"UI bagus, cuma masalah tiao kli buka aplikasi setelah gk dipke bbrapa hari malah disuruh login lgi, dan skrg aplikasi gk bsa dipke gtw knp",2,Negatif,ui bagus cuma masalah tiao kli buka aplikasi setelah tidak dipke bbrapa hari malah disuruh login lgi dan skrg aplikasi tidak bsa dipke gtw knp
"SANGAT BURUK. NGISI DG DETAIL BENAR NOTIF NOPR MAX 12DGIT, PDHAL NOPE SDH BENAR YG DIMSUKAN CMAN 11 DGIT. LWAT KEPENDUDUKAN APK JUGA MUTER AJA. WOOOIII PEM. JGAN KBNYAKAN OMONG KSOONG YG GAK ADA FAEDAHNYA.",1,Negatif,sangat buruk ngisi dg detail benar notif nopr max dgit pdhal nope sudah benar yang dimsukan cman dgit lwat kependudukan aplikasi juga muter saja woooiii pem jgan kbnyakan omong ksoong yang tidak ada faedahnya
"pelajar disuruh daftarin pake aplikasi kalau mau CKG disekolah. tapi Aplikasinya masih mentahh, di klik gabisa,loading parah, sampe emosii nunggu lama banget masih belom bisa2. dibenerin dulu aplikasinya, baru di terapkan.",2,Negatif,pelajar disuruh daftarin pakai aplikasi kalau mau ckg disekolah tapi aplikasinya masih mentahh di klik gabisaloading parah sampe emosii nunggu lama banget masih belom bisa dibenerin dulu aplikasinya baru di terapkan
ini saya nomor hp lama cuma bisa isi 11 karena 0 nya di hilangkan dari aplikasi jadi gk bisa daftar tolong di perbaiki,1,Negatif,ini saya nomor hp lama cuma bisa isi karena nya di hilangkan dari aplikasi jadi tidak bisa daftar tolong di perbaiki
"aplikasi ini aneh, padahal mau daftar malah ga bisa karena no telp kurang dari 12 digit , jadi bingung saya sama ini aplikasi bukan nya mempermudah malah tambah di persulit",1,Negatif,aplikasi ini aneh padahal mau daftar malah ga bisa karena no telp kurang dari digit jadi bingung saya sama ini aplikasi bukan nya mempermudah malah tambah di persulit
Alhamdulillah Semoga selalu membawa manfaat dan kemudahan,5,Positif,alhamdulillah semoga selalu membawa manfaat dan kemudahan
mengapa daftar pakai nomor telepon tidak bisa ???,1,Negatif,mengapa daftar pakai nomor telepon tidak bisa
"aplikasi ini sangat berguna bagi saya pribadi, karena kita dapat melihat hasil pemeriksaan medis yg telah kita lakukan",5,Positif,aplikasi ini sangat berguna bagi saya pribadi karena kita dapat melihat hasil pemeriksaan medis yang telah kita lakukan
"aplikasi buruk, mau daftar sudah mengikuti arahan malah masalah d nomor telepon pdhl nomor telepon sudah benar",1,Negatif,aplikasi buruk mau daftar sudah mengikuti arahan malah masalah d nomor telepon pdhl nomor telepon sudah benar
gjls bgttt baru mau daftar gk bisa katanya nomor HP salahh udah sampe diulang salah.,1,Negatif,gjls bgttt baru mau daftar tidak bisa katanya nomor hp salahh sudah sampe diulang salah
"aplikasi pemerintah ngga ada yang bagus menurutku sejauh ini ribet semua entah itu verifikasi, nomor hp kok gitu banget dah apk nya",1,Negatif,aplikasi pemerintah ngga ada yang bagus menurutku sejauh ini ribet semua entah itu verifikasi nomor hp kok gitu banget dah aplikasi nya
sertifikat vaksinnya ga bisa di unduh,2,Negatif,sertifikat vaksinnya ga bisa di unduh
Sangat bagus untuk membantu mengontrol kondisi kesehatan kita,5,Positif,sangat bagus untuk membantu mengontrol kondisi kesehatan kita
bagus,5,Positif,bagus
Pelayanan bagus dan lebih mudah diakses fiturnya 👍,5,Positif,pelayanan bagus dan lebih mudah diakses fiturnya
tolong diperbaiki lagi masih ada bug dimana saya ngisi tanggal lahir bulan serta tahun sesuai namun tetap saja salah dan saat ingin diganti tidak bisa sama sekali sehingga saya tidak dapat mengikuti screening kesehatan karena data lahir salah.,2,Negatif,tolong diperbaiki lagi masih ada bug dimana saya ngisi tanggal lahir bulan serta tahun sesuai namun tetap saja salah dan saat ingin diganti tidak bisa sama sekali sehingga saya tidak dapat mengikuti screening kesehatan karena data lahir salah
"Aplikasi Ampas, fix in dulu",1,Negatif,aplikasi ampas fix in dulu
gimana ini nggak bisa login login Mulu tolong tanggapi min,1,Negatif,gimana ini tidak bisa login login mulu tolong tanggapi min
suka nge hang apk ny,1,Negatif,suka nge hang aplikasi ny
terimakasih sdh ada program dari pemerintah,5,Positif,terimakasih sudah ada program dari pemerintah
baik,5,Positif,baik
"Pelayanan baik,terimakasih",5,Positif,pelayanan baikterimakasih
"pin udah berhasil di ganti. di masukin no dan pin, tidak valid terus. oke, saya hapus. karna sistem aplikasi ny ga bener",1,Negatif,pin sudah berhasil di ganti di masukin no dan pin tidak valid terus oke saya hapus karena sistem aplikasi ny ga bener
