content,score,sentiment,cleaned_content
untuk kurir kenapa mahal banget sih.paling murah 22500 mending kalo imbang sama pelayanan.udah bayar mahal nyampenya 3hari. belanja di olshop ongkir gratis sehari bisa nyampe.pantas sj kurir itu ga laku😁,2,Negatif,untuk kurir kenapa mahal banget sihpaling murah mending kalau imbang sama pelayananudah bayar mahal nyampenya hari belanja di olshop ongkir gratis sehari bisa nyampepantas sj kurir itu ga laku
"Terimakasih, aplikasi sangat berguna",5,Positif,terimakasih aplikasi sangat berguna
Alhamdulillah sudah sampai dengan baik,5,Positif,alhamdulillah sudah sampai dengan baik
"aplikasi ga gunaa sudah verif, cek pajak bayar pajak ga ada yg bisa, lapor via email ga di respon bubarin aja dah ni apk",1,Negatif,aplikasi ga gunaa sudah verif cek pajak bayar pajak ga ada yang bisa lapor via email ga di respon bubarin saja dah ni aplikasi
"gak bisa cek pajak kendaraan, gak bisa bayar, ini aplikasi cuma ambil data pribadi orang aja, mana udah foto ktp sma selfie lagi",1,Negatif,tidak bisa cek pajak kendaraan tidak bisa bayar ini aplikasi cuma ambil data pribadi orang saja mana sudah foto ktp sma selfie lagi
alhamdulillah bayar pajak lebih mudah,5,Positif,alhamdulillah bayar pajak lebih mudah
"memudahkan masyarakat dalam hal membayar pajak kendaraan , mohon di cantumkan estimasi mulai dari transaksi berhasil hingga proses selesai nya ,trimakasih SIGNAL - SAMSAT",5,Positif,memudahkan masyarakat dalam hal membayar pajak kendaraan mohon di cantumkan estimasi mulai dari transaksi berhasil hingga proses selesai nya trimakasih signal samsat
proses cepat semoga kedepannya untuk yg 5 tahunan bisa via signal juga,5,Positif,proses cepat semoga kedepannya untuk yang tahunan bisa via signal juga
Alhamdulillah sangat membantu,5,Positif,alhamdulillah sangat membantu
mantap bayar pajak tidak ribet,5,Positif,mantap bayar pajak tidak ribet
"FAST banget, ga perlu antri ke samsat, good job samsat digital🔥",5,Positif,fast banget ga perlu antri ke samsat good job samsat digital
terimakasih semakin cepat dan membantu sekali proses perpanjang via digital. mantap,5,Positif,terimakasih semakin cepat dan membantu sekali proses perpanjang via digital mantap
baik,5,Positif,baik
"diterima dengan baik, cuma prosesnya cukup lama hingga sampai ke tangan pemilik, semoga kedepannya lebih baik lagi, untuk yang lain sudah oke, tks kantor pos dan satlantas",5,Positif,diterima dengan baik cuma prosesnya cukup lama hingga sampai ke tangan pemilik semoga kedepannya lebih baik lagi untuk yang lain sudah oke terima kasih kantor pos dan satlantas
"Sdh seminggu minta update akun, tp gagal terus ?",2,Negatif,sudah seminggu minta update akun tapi gagal terus
bagus... praktis... merasa terbantu banget dengan posisi saya yang jauh dari kampung halaman.. bisa kirim ke seluruh indonesia... bagus...mantulll Terima kasih SIGNAL,5,Positif,bagus praktis merasa terbantu banget dengan posisi saya yang jauh dari kampung halaman bisa kirim ke seluruh indonesia bagusmantulll terima kasih signal
"mantap, jadi mudah perpanjang pajak",5,Positif,mantap jadi mudah perpanjang pajak
Tidak ramah. Agent chat online bernama carla tidak menjawab pertanyaan. Pengirim lama sepuluh hari gak ada kabar,1,Negatif,tidak ramah agent chat online bernama carla tidak menjawab pertanyaan pengirim lama sepuluh hari tidak ada kabar
cepet juga 3 hari yg tahun lalu 10 hari...lebih baik dr tahun ke tahun....memudahkan sih....kalo bisa pembayaran QRIS SDH aktif dan penghapusan online motor yg sudah di jual...biar progresif nga jalan terus,5,Positif,cepet juga hari yang tahun lalu harilebih baik dari tahun ke tahunmemudahkan sihkalo bisa pembayaran qris sudah aktif dan penghapusan online motor yang sudah di jualbiar progresif nga jalan terus
"parah pengiriman lelet bgt.... saya bayar pajak dri tgl 17 Januari 2026 sampe sekarang ( 15 apr 2026 ) blm sampe juga . keterangan nya "" sedang di proses Samsat setempat "". trus sampe kapan woy ? nunggu tahun depan! saya udh live chat bilangnya "" harap ditunggu "" masalah sampe kapan. solusi nya cuma klo di tilang atau pun yg lain kasih keterangan di app signal nya .... lah klo batre saya habis atau mati itu gimana . lelet bgt .... gusah bayar pajak sekalian klo gini mah.",1,Negatif,parah pengiriman lelet banget saya bayar pajak dri tgl januari sampe sekarang apr belum sampe juga keterangan nya sedang di proses samsat setempat trus sampe kapan woy nunggu tahun depan saya sudah live chat bilangnya harap ditunggu masalah sampe kapan solusi nya cuma kalau di tilang atau pun yang lain kasih keterangan di app signal nya lah kalau batre saya habis atau mati itu gimana lelet banget gusah bayar pajak sekalian kalau gini mah
"bayar pajak lebih mudah , kebetulan lagi d luar provinsi tapi tetap bisa bayar pajak motor tepat waktu",5,Positif,bayar pajak lebih mudah kebetulan lagi d luar provinsi tapi tetap bisa bayar pajak motor tepat waktu
"bagus aplikasinya, kalau bisa pajak 5 tahunan/ ganti plat bisa bayar disini juga biar ga repot ke samsat",5,Positif,bagus aplikasinya kalau bisa pajak tahunan ganti plat bisa bayar disini juga biar ga repot ke samsat
"sangat membantu, kalau bisa untuk yg ganti plat nomer juga bisa di lakukan di signal ini, sangat baik Makin lengkap dengan adanya lapor jual kendaraan , bravo Polri kalau bisa di tambah informasi dan fhoto etilang agar saat bayar pajak stnk di blokir karena etilang tetap bisa dilakukan dengan tambahan denda etilang. Pajak dan denda tilang bisa satu aplikasi sangat membantu sekali",5,Positif,sangat membantu kalau bisa untuk yang ganti plat nomer juga bisa di lakukan di signal ini sangat baik makin lengkap dengan adanya lapor jual kendaraan bravo polri kalau bisa di tambah informasi dan fhoto etilang agar saat bayar pajak stnk di blokir karena etilang tetap bisa dilakukan dengan tambahan denda etilang pajak dan denda tilang bisa satu aplikasi sangat membantu sekali
sangat jelek sangat buruk sudah login tapi ga bisa bayar pajaknya.yg serius dong lalau bikin apk.apk pemerintah ga bagus👰‍♀️,1,Negatif,sangat jelek sangat buruk sudah login tapi ga bisa bayar pajaknyayg serius dong lalau bikin apkapk pemerintah ga bagus
"tidak bisa di gunakan,setiap daftarkan kendaraan selalu sedang tidak ada layanan.",1,Negatif,tidak bisa di gunakansetiap daftarkan kendaraan selalu sedang tidak ada layanan
"sebenarnya aplikasi mempermudah,tp respon customer service lama, pemrosesan lama, ongkir nya lumayan mahal,naik 100% dari tahun 2024,admin bank juga mahal cuy.",4,Positif,sebenarnya aplikasi mempermudahtp respon customer service lama pemrosesan lama ongkir nya lumayan mahalnaik dari tahun admin bank juga mahal cuy
cepat & tidak ribet,5,Positif,cepat tidak ribet
"terbaik, pembayaran sabtu, Rabu dokumen sudah diterima. terima kasih",5,Positif,terbaik pembayaran sabtu rabu dokumen sudah diterima terima kasih
"sangat membantu bagi yang tidak punya waktu untuk keluar, terimakasih",5,Positif,sangat membantu bagi yang tidak punya waktu untuk keluar terimakasih
"ni apl amps bgt sih verifikasi akun aj gk bisa"" gagal trs,",1,Negatif,ni apl amps banget sih verifikasi akun aj tidak bisa gagal trs
mantab,5,Positif,mantab
"Alhamdulillah memudahkan, walaupun ada bayar adminnya dan yg lainnya.. terimakasih Signal sudah memudahkan",5,Positif,alhamdulillah memudahkan walaupun ada bayar adminnya dan yang lainnya terimakasih signal sudah memudahkan
"sangat sekali membantu, dan bermanfaat",5,Positif,sangat sekali membantu dan bermanfaat
"sangat membantu sekali, dan lebih efisien klo bisa 5 tahun ganti kaleng lwt applikasi gesek rangka by data input di menu tambahan di SIGNAL ( samsat ) mengurangi PUNGLI bila ONLINE",5,Positif,sangat membantu sekali dan lebih efisien kalau bisa tahun ganti kaleng lwt applikasi gesek rangka by data input di menu tambahan di signal samsat mengurangi pungli bila online
ok,5,Positif,ok
"semua opsi, layanan tidak tersedia",1,Negatif,semua opsi layanan tidak tersedia
"interface mudah dipahami, proses registrasi hingga pembayaran mudah dan cepat. namun status pengiriman lama updatenya, better cek resi manual menggunakan website pos indonesia",5,Positif,interface mudah dipahami proses registrasi hingga pembayaran mudah dan cepat namun status pengiriman lama updatenya better cek resi manual menggunakan website pos indonesia
Sangat membantu dan lebih simple,5,Positif,sangat membantu dan lebih simple
Bayar pajak motor jadi lebih mudah,5,Positif,bayar pajak motor jadi lebih mudah
cepat dan no ribet,5,Positif,cepat dan no ribet
uda 3 x urus melalui signal... ok. trs tingkat kan...,5,Positif,uda x urus melalui signal ok trs tingkat kan
Jangan terlalu malam antarnya,5,Positif,jangan terlalu malam antarnya
"terimakasih, meLaLui apLikasi signaL pengurusan pajak kendaraan menjadi mudah, dan Hemat waktu terimakasih",5,Positif,terimakasih melalui aplikasi signal pengurusan pajak kendaraan menjadi mudah dan hemat waktu terimakasih
mudah-mudahan bisa lebih cepat lagi proses dan pengirimannya maksimal di 3 hari kerja biar orang tidak menunggu lama. tapi keren tidak buang waktu buat perpanjang,5,Positif,mudahmudahan bisa lebih cepat lagi proses dan pengirimannya maksimal di hari kerja biar orang tidak menunggu lama tapi keren tidak buang waktu buat perpanjang
